"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,31.5706432489165,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-16.7895835062656,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,37.1816472439109,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,27.3564421786911,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,-4.83742669918348,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,-1.56586423548106,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-4.83884220654369,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-21.7619932475385,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.05179984932697,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,20.2853570666637,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,11.3258357983866,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,5.35266779861525,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-7.53178678580294,,
"XTEXVA01","Exports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,37.4714384431394,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,20.8273417369948,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-16.747964858761,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,22.0528264816826,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,21.4315564150266,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,6.49570932702652,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,-6.94751817543323,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-1.8464800662252,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,-12.0374994955937,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-5.84333437221869,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,17.2967861024632,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.3377946756486,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,-5.81167838181623,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-5.61564739578068,,
"XTIMVA01","Imports in goods, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,22.6373425708054,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,-19.5735494583801,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,-18.2883560862573,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,13.6689913563208,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,-3.21236689186112,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,-4.08265809125894,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,17.7441668627539,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.83117089927256,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.40860976702961,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,-3.93005791814747,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,9.96970259253443,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.36712527414217,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,7.43653532774246,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-5.2315733857146,,
"SPASTT01","Share prices","AUS","Australia","GP","Growth previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,17.3462209255121,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,4.35029854990048,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.77111716621253,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,2.91834002677377,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,3.3038501560874,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.76278015613196,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.44988864142539,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.487922705314,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.5083667216592,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.27699094497329,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.94864740944519,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.91140094445696,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.61076787290378,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.846905537459296,,
"CPALTT01","Consumer prices: all items","AUS","Australia","GP","Growth previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,2.86391042204996,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,2.41780048509361,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,1.98139986076132,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,2.48401724487357,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,2.65940056497797,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,3.89545407105902,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.16813912919689,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.52783358728533,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,2.26900095130794,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.68434978582854,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.42522408379644,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.84435523108156,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.9217651269527,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-1.85612447198218,,
"NAEXKP01","Gross domestic product; constant prices, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2021","2021","PC","Percentage","0","Units",,,5.2357535148841,,
"LFEMTTTT","Total employment: all persons, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2008","2008","PC","Percentage","0","Units",,,2.84544317396335,,
"LFEMTTTT","Total employment: all persons, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2009","2009","PC","Percentage","0","Units",,,0.693364579796476,,
"LFEMTTTT","Total employment: all persons, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2010","2010","PC","Percentage","0","Units",,,2.0051419772023,,
"LFEMTTTT","Total employment: all persons, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,1.7380562409855,,
"LFEMTTTT","Total employment: all persons, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.22158429460525,,
"LFEMTTTT","Total employment: all persons, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.933033565952374,,
"LFEMTTTT","Total employment: all persons, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,0.728415892751225,,
"LFEMTTTT","Total employment: all persons, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.95930045436734,,
"LFEMTTTT","Total employment: all persons, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.75772328384214,,
"LFEMTTTT","Total employment: all persons, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.3295984858761,,
"LFEMTTTT","Total employment: all persons, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2018","2018","PC","Percentage","0","Units",,,2.71019201604496,,
"LFEMTTTT","Total employment: all persons, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2019","2019","PC","Percentage","0","Units",,,2.31253264919024,,
"LFEMTTTT","Total employment: all persons, s.a.","AUS","Australia","GP","Growth previous period","A","Annual","2020","2020","PC","Percentage","0","Units",,,-1.55090187808093,,
